추출된 텍스트,label
지금 현재 전화받고 계신 곳이 학교이신가요 아니면 자택이세요?,1
왜냐하면 녹취 상태에서는 말씀하시는 모든 부분을 녹취 기록에 남길 거고 본인을 대신하여 증거 자료로 채택을 해 드릴 겁니다.,1
그러시면 지금부터는 제가 사건 내용에 대해서 구체적으로 설명을 드리겠습니다.,1
현재 사건은 외 구성된 금융 범죄 사기 사건이고 지금 명은 검거를 했고 나머지는 미검거 상태로 진행 중인 사건이라고 먼저 말씀을 드립니다. ,1
 이 사건은 지금 중고거래 사이트에서 고가의 물건을 저가에 판매한다는 게시글을 올려놓고 지금 물건을 안 주고 금품만 편취한 사건입니다. ,1
"압수수색 당시 현장에서 명의로 개설된 통장, 체크카드 각각과 위조된 복제폰이 포함되었습니다.",1
본인 명의로 대포 통장하고 복제폰을 만들어서 사기를 치셨단 말씀이세요.,1
통장을 저희 지금 검찰에서 동결 처리 시켰는데 어떻게 조사를 하시겠어요?,1
제 말씀을 잘 이해를 못 하셨어요.,1
대포통장이라는 게 지금 어떤 통장이라는 걸 모르세요?,1
본인 명의를 가지고 가짜 통장을 만드셔서 본인이 은행에 출석을 안 하시는데 본인 명의로 어떻게 계좌개설을 하시겠어요.,1
그런데 제가 가짜 통장을 만들었단 말씀을 하셨잖아요?,1
명의가 지금 본인 명의이기 때문에 지금 저희 검찰청에서 연락을 드린 거 아니십니까?,1
말씀이 너무 많으신데 제가 소환장을 발부해드릴게요.,1
나와서 확인해 보시고 조사를 해 보시고 조사받아 보세요.,1
조사하는 모든 통화 내용은 녹취하게 됩니다.,1
아시겠지만 본인이 은행에 출석을 안하시면 은행에서 이걸 개설을 안 해주시잖아요?,1
세금 체납으로 인해 법적 조치가 진행 중입니다. 해결을 원하시면 지금 연락 주세요.,1
비트코인 투자 기회를 놓치지 마세요. 오늘 투자하면 200% 수익 보장!,1
안전한 거래를 위해 공인인증서 비밀번호를 확인해 주세요.,1
카드 결제가 승인되었습니다. 본인이 아닐 경우 즉시 연락 바랍니다.,1
고객님 명의로 개설된 대출이 확인되었습니다. 신속히 조치하지 않으면 불이익이 있습니다.,1
국세청에서 안내드립니다. 환급금을 지급받으려면 정보를 입력해주세요.,1
검찰청 수사관입니다. 고객님의 계좌가 범죄에 연루되어 즉시 확인이 필요합니다.,1
경찰청 사이버수사팀입니다. 고객님의 계좌가 해외 불법 송금에 사용되었습니다.,1
본인 명의로 휴대폰이 개통되었습니다. 확인하지 않으면 법적 책임이 따릅니다.,1
해킹 시도가 감지되었습니다. 보안 강화를 위해 계좌 정보를 업데이트해주세요.,1
세금 체납으로 인해 법적 조치가 진행 중입니다. 해결을 원하시면 지금 연락 주세요.,1
고객님의 개인정보가 유출되었습니다. 확인을 위해 주민번호를 알려주세요.,1
고객님 대출이 가능하니 보증금을 먼저 입금해주세요.,1
고객님께서 특별 대출이 가능하니 서류 없이 바로 진행 가능합니다.,1
고객님 명의로 추가 계좌가 필요하니 개설 후 알려주세요.,1
경찰청입니다. 계좌가 도용되었으니 보호가 필요합니다.,1
대출 상품을 이용하고 계시요. 금리가 더 낮은 상품으로 지금 갈아탈 수 있습니다. 다만 대출 처리 비용이 있어 선입금을 해주셔야 합니다.,1
고금리 대출을 먼저 받아 상환하면 신용등급이 올라 저금리 대출이 지금보다 쉽게 가능합니다.,1
중앙지방검찰청 수사관입니다. 당신의 명의로 대포통장을 만들어 범죄를 저지른 사실을 알고 계십니까?,1
엄마 나 휴대폰이 갑자기 고장 나서 친구 휴대폰으로 연락해. 휴대폰 바꾸게 계좌로 300만원 보내줘,1
당신 자녀가 친구 보증 5천만원을 섰는데 갚지 않아 납치했습니다. 지금 당장 5천만원을 송금하세요.,1
"고객님의 신상정보가 도용된 카드가 부정 사용되어 연체 중입니다. 경찰에 수사 의뢰를 해드릴 테니, 전화가 오면 협조해 주시길 바랍니다.",1
고객님이 통장과 도장을 맡겨 돈을 찾아오라고 하셨나요? 확인차 연락드립니다.,1
수취인 부재로 우편물이 반송 예정입니다. 확인하시려면 0번을 눌러주세요.,1
택배가 반송되었으니 자세한 내용을 알고 싶으시면 0번을 눌러 확인해 주세요.,1
"고객님, 기존 대출을 저금리 대출로 전환해드리겠습니다. 먼저 기존 대출을 갚아야 합니다.",1
고객님 계좌가 보이스피싱 범죄에 연루되었습니다. 안전한 계좌로 돈을 옮겨주세요.,1
긴급히 조사가 필요해 전화드렸습니다.,1
저희 가게에 방문하셨던 일로 피해 보실 만한 일이 있어 전화드립니다.,1
제가 결제하지도 않은 상품이 결제되었다고 문자가 와서요. 전산상에는 고객님 명의로 결제가 된 것으로 나옵니다. 최근 고객님 같이 명의 도용 사례가 많은데 저희가 경찰에 바로 접수해드리겠습니다.,1
서울지방검찰청 사이버수사대 수사관입니다. 약식조사에 앞서 금융거래내역 및 본인 인증이 필요하니 휴대폰에 '팀 뷰어'라는 앱을 검색해서 설치하세요.,1
사건을 서울중앙지검에서 하고 있으니 서울중앙지검에 전화해 검사를 찾으세요.,1
"서울중앙지검 첨단수사부 검사입니다. 현재 선생님의 통장은 불법자금 세탁계좌로 보이며, 제가 지금 불러드리는 서울중앙지검 인터넷 사이트에 접속하셔서 사건 번호를 확인하시고 선생님의 카톡으로도 공문을 발송해드리겠습니다.",1
지금부터 타인의 음성이 섞이거나 사건에 대해 발설하는 것이 확인되면 혐의를 인정하는 것으로 여기고 구속수사까지 될 수 있으니 주변에 사람이 없는 조용한 곳으로 이동하세요.,1
